ID, Year, Best_est_deaths
206780, 2015, 17
206800, 2015, 5
206832, 2015, 17
206840, 2015, 10
206841, 2015, 13
206844, 2015, 59
206865, 2015, 6
206866, 2015, 1
215930, 2015, 14
207461, 2015, 6
207483, 2015, 38
207484, 2015, 37
207485, 2015, 37
215933, 2015, 7
209204, 2015, 56
215978, 2015, 7
215980, 2015, 6
215992, 2015, 0
216222, 2015, 0
62380, 2013, 1
61917, 2013, 2
62362, 2013, 7
61919, 2013, 1
61920, 2013, 3
61921, 2013, 30
61922, 2013, 3
62496, 2013, 2
62502, 2013, 2
61915, 2013, 1
62921, 2013, 9
62975, 2013, 5
63004, 2013, 13
63123, 2013, 44
213488, 2015, 0
61916, 2013, 3
29367, 2012, 5
29382, 2012, 14
48347, 2013, 27
48501, 2013, 2
45937, 2013, 14
46005, 2013, 3
51520, 2013, 5
51523, 2013, 2
51526, 2013, 8
51555, 2013, 6
61670, 2013, 4
61683, 2013, 2
61727, 2013, 55
61741, 2013, 6
61757, 2013, 2
61773, 2013, 23
61902, 2013, 13
62285, 2013, 11
63261, 2013, 9
63473, 2013, 2
61758, 2013, 12
62283, 2013, 24
62725, 2013, 4
63158, 2013, 41
63174, 2013, 4
63448, 2013, 12
29358, 2012, 2
108174, 2010, 0
108225, 2011, 40
108338, 2012, 4
108394, 2011, 15
108662, 2012, 4
108682, 2012, 1
108763, 2011, 10
110019, 2010, 2
110039, 2010, 1
110062, 2011, 1
110134, 2010, 64
110619, 2010, 1
110734, 2010, 1
110777, 2012, 1
110863, 2010, 2
110877, 2010, 14
113966, 2014, 16
114065, 2014, 20
114200, 2014, 2
108379, 2012, 3
120449, 2014, 3
110031, 2011, 2
110251, 2010, 2
122293, 2004, 3
122302, 2004, 2
120348, 2014, 6
120506, 2014, 13
122280, 2004, 1
122281, 2004, 2
122326, 2004, 2
122328, 2004, 17
122613, 2004, 2
129949, 2005, 7
130268, 2006, 1
130451, 2006, 6
131479, 2006, 1
132784, 2005, 1
125689, 2004, 6
133641, 2008, 1
133660, 2008, 1
133661, 2008, 6
134407, 2008, 9
134417, 2008, 1
138115, 2007, 2
135162, 2005, 8
136184, 2005, 1
136201, 2005, 1
136229, 2005, 0
136290, 2005, 1
136327, 2005, 1
136343, 2005, 3
137118, 2006, 6
137179, 2006, 72
137387, 2006, 4
138085, 2007, 4
138091, 2007, 1
138211, 2007, 1
138236, 2007, 3
138247, 2007, 1
138251, 2007, 1
138504, 2007, 16
138525, 2007, 6
139180, 2009, 1
139192, 2009, 2
139197, 2009, 1
139816, 2008, 1
139632, 2008, 5
139634, 2008, 1
139864, 2008, 2
136459, 2005, 1
136478, 2005, 1
142981, 2014, 12
143087, 2014, 4
139224, 2009, 1
144725, 1995, 100
144826, 1996, 2
144848, 1992, 1
136306, 2005, 2
145203, 1993, 1
145259, 1996, 1
145432, 1992, 46
145442, 1993, 4
145450, 1993, 3
137068, 2006, 3
137069, 2006, 1
137089, 2006, 32
137229, 2006, 5
137275, 2006, 3
137276, 2006, 2
137698, 2006, 5
137332, 2006, 4
137333, 2006, 2
137334, 2006, 1
138050, 2007, 1
138054, 2007, 4
138088, 2007, 9
138249, 2007, 2
138604, 2007, 18
138606, 2007, 520
138629, 2007, 4
138631, 2007, 4
139342, 2008, 4
139428, 2008, 6
146977, 1990, 0
147275, 1992, 33
150217, 2014, 16
150284, 2014, 9
150405, 2014, 10
143133, 2014, 6
143153, 2014, 4
151563, 2014, 3
152498, 2014, 37
150527, 2014, 12
150530, 2014, 29
158330, 2008, 0
151535, 2014, 20
151548, 2014, 24
158443, 2010, 5
164107, 1991, 100
176092, 1989, 25
196549, 2015, 84
196651, 2015, 2
196984, 2015, 12
196990, 2015, 2
197129, 2015, 10
197181, 2015, 10
197190, 2015, 10
198016, 2015, 16
198077, 2015, 18
198210, 2015, 30
201152, 2015, 29
195321, 1991, 0
196783, 2015, 11
197030, 2015, 5
197031, 2015, 4
197060, 2015, 10
197110, 2015, 1
197111, 2015, 7
197180, 2015, 11
197375, 2015, 60
198031, 2015, 2
198045, 2015, 4
198836, 2015, 3
207488, 2015, 67
208897, 2015, 22
213599, 2015, 0
215712, 2014, 0
207491, 2015, 17
207494, 2015, 11
145435, 1992, 34
159532, 1998, 2
122612, 2004, 16
122615, 2004, 6
122651, 2004, 1
132009, 2008, 1
125847, 2004, 3
125853, 2004, 1
136336, 2005, 0
136337, 2005, 1
136409, 2005, 1
136859, 2005, 1
136860, 2005, 1
